"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hipMemcpy,1005,2626157064,2613091,99.29223547635642
hipLaunchKernel,2001,8582685,4289,0.3245022895703667
hipGetLastError,5008,2787607,556,0.1053964876868231
hipFree,1004,2575891,2565,0.09739172848400023
hipMalloc,1004,2337957,2328,0.08839569428646932
__hipPushCallConfiguration,2001,1215654,607,0.04596259868856594
__hipPopCallConfiguration,2001,1205637,602,0.04558386645796138
hipGetDeviceProperties,2,9017,4508,0.00034092328275545433
hipGetDeviceCount,1,3457,3457,0.00013070553271438457
hipGetDevice,1,1593,1593,6.0229653923637437e-05
